id,t,d,wc_exp,bc_exp,edu,lnwage
49,7,4,0,1,14,
49,8,2,0,2,14,
49,9,1,1,2,14,10.522854
49,10,1,2,2,14,10.727803
49,11,2,2,3,14,10.817135
50,1,3,0,0,10,
50,2,3,0,0,11,
50,3,3,0,0,12,
50,4,2,0,1,12,9.4723358
50,5,2,0,2,12,10.499091
50,6,2,0,3,12,10.459984
50,7,2,0,4,12,10.800486
50,8,2,0,5,12,10.663265
50,9,1,1,5,12,10.845305
50,10,2,1,6,12,10.973505
50,11,2,1,7,12,10.883204
51,1,4,0,0,9,
51,2,4,0,0,9,
51,3,4,0,0,9,
51,4,4,0,0,9,
51,5,2,0,1,9,5.8024807
51,6,2,0,2,9,8.4915066
51,7,2,0,3,9,
51,8,2,0,4,9,
51,9,4,0,4,9,
51,10,2,0,5,9,
51,11,2,0,6,9,
52,1,3,0,0,10,
52,2,2,0,1,10,8.1421213
52,3,2,0,2,10,9.9225254
52,4,3,0,2,11,
52,5,3,0,2,12,
52,6,3,0,2,13,
52,7,3,0,2,14,
52,8,2,0,3,14,10.769713
52,9,2,0,4,14,11.023268
52,10,2,0,5,14,11.436174
52,11,2,0,6,14,11.33018
53,1,3,0,0,9,
53,2,3,0,0,10,
53,3,2,0,1,10,8.8989115
53,4,2,0,2,10,9.7881889
53,5,2,0,3,10,9.9338808
53,6,2,0,4,10,10.695715
53,7,2,0,5,10,10.547413
53,8,2,0,6,10,10.283265
53,9,2,0,7,10,10.308036
53,10,2,0,8,10,10.582586
53,11,2,0,9,10,11.447112
54,1,3,0,0,9,
54,2,3,0,0,10,
54,3,2,0,1,10,
54,4,3,0,1,11,
54,5,3,0,1,12,
54,6,3,0,1,13,
54,7,2,0,2,13,8.0860415
54,8,2,0,3,13,10.918944
54,9,2,0,4,13,11.131152
54,10,2,0,5,13,10.992857
54,11,2,0,6,13,10.663265
55,1,3,0,0,10,
55,2,2,0,1,10,7.8430839
55,3,3,0,1,11,
55,4,3,0,1,12,
55,5,1,1,1,12,10.829332
55,6,1,2,1,12,10.85085
55,7,1,3,1,12,11.110641
55,8,1,4,1,12,11.17409
55,9,1,5,1,12,11.26912
55,10,1,6,1,12,11.243169
55,11,1,7,1,12,11.313987
56,1,3,0,0,10,
56,2,3,0,0,11,
56,3,2,0,1,11,9.5170603
56,4,2,0,2,11,9.8968258
56,5,2,0,3,11,10.794091
56,6,2,0,4,11,10.454639
56,7,2,0,5,11,10.214862
56,8,2,0,6,11,10.859325
56,9,2,0,7,11,10.817415
56,10,2,0,8,11,10.727523
56,11,2,0,9,11,10.56804
57,1,3,0,0,10,
57,2,2,0,1,10,9.0073032
57,3,3,0,1,11,
57,4,3,0,1,12,
57,5,3,0,1,13,
57,6,2,0,2,13,11.651509
57,7,3,0,2,14,
57,8,2,0,3,14,11.09033
57,9,2,0,4,14,11.069818
57,10,2,0,5,14,10.950947
57,11,2,0,6,14,10.557624
58,1,3,0,0,10,
58,2,2,0,1,10,
58,3,2,0,2,10,9.5170603
58,4,2,0,3,10,9.8098145
58,5,2,0,4,10,10.031951
58,6,2,0,5,10,10.695801
58,7,2,0,6,10,10.725687
58,8,2,0,7,10,9.9430351
58,9,2,0,8,10,9.8573217
58,10,2,0,9,10,10.629083
58,11,2,0,10,10,10.732343
59,1,3,0,0,10,
59,2,2,0,1,10,
59,3,3,0,1,11,
59,4,3,0,1,12,
59,5,3,0,1,13,
59,6,3,0,1,14,
59,7,3,0,1,15,
59,8,2,0,2,15,10.522854
59,9,2,0,3,15,10.727803
59,10,2,0,4,15,10.727523
59,11,2,0,5,15,10.701571
60,1,3,0,0,10,
60,2,3,0,0,11,
60,3,3,0,0,12,
60,4,3,0,0,13,
60,5,3,0,0,14,
60,6,2,0,1,14,9.1162491
60,7,2,0,2,14,9.5012026
60,8,1,1,2,14,10.594272
60,9,1,2,2,14,9.6596823
60,10,1,3,2,14,10.454711
60,11,1,4,2,14,10.215374
61,1,3,0,0,10,
61,2,3,0,0,11,
61,3,3,0,0,12,
