id,t,d,wc_exp,bc_exp,edu,lnwage
73,10,1,2,0,16,10.899653
73,11,1,3,0,16,11.036844
74,1,3,0,0,10,
74,2,3,0,0,11,
74,3,3,0,0,12,
74,4,3,0,0,13,
74,5,3,0,0,14,
74,6,3,0,0,15,
74,7,2,0,1,15,10.39502
74,8,2,0,2,15,11.251052
74,9,1,1,2,15,11.26912
74,10,1,2,2,15,11.410222
74,11,1,3,2,15,11.43915
75,1,3,0,0,9,
75,2,3,0,0,10,
75,3,2,0,1,10,
75,4,2,0,2,10,6.281631
75,5,2,0,3,10,
75,6,2,0,4,10,
75,7,2,0,5,10,
75,8,2,0,6,10,8.9615097
75,9,2,0,7,10,
75,10,2,0,8,10,
75,11,2,0,9,10,9.0957375
76,1,3,0,0,10,
76,2,3,0,0,11,
76,3,3,0,0,12,
76,4,3,0,0,13,
76,5,3,0,0,14,
76,6,2,0,1,14,7.1697502
76,7,3,0,1,15,
76,8,3,0,1,16,
76,9,3,0,1,17,
76,10,3,0,1,18,
76,11,3,0,1,19,
77,1,3,0,0,10,
77,2,3,0,0,11,
77,3,3,0,0,12,
77,4,3,0,0,13,
77,5,3,0,0,14,
77,6,3,0,0,15,
77,7,2,0,1,15,6.1000051
77,8,2,0,2,15,8.8096304
77,9,3,0,2,16,
77,10,3,0,2,17,
77,11,3,0,2,18,
78,1,3,0,0,11,
78,2,3,0,0,12,
78,3,3,0,0,13,
78,4,3,0,0,14,
78,5,3,0,0,15,
78,6,3,0,0,16,
78,7,3,0,0,17,
78,8,3,0,0,18,
78,9,1,1,0,18,10.194349
78,10,1,2,0,18,8.5430012
78,11,1,3,0,18,
79,1,3,0,0,10,
79,2,3,0,0,11,
79,3,3,0,0,12,
79,4,3,0,0,13,
79,5,3,0,0,14,
79,6,3,0,0,15,
79,7,2,0,1,15,8.4622087
79,8,1,1,1,15,
79,9,1,2,1,15,10.522854
79,10,1,3,1,15,10.30659
79,11,1,4,1,15,10.206225
80,1,2,0,1,10,8.5743752
80,2,2,0,2,10,9.3209515
80,3,2,0,3,10,10.741405
80,4,2,0,4,10,9.2773638
80,5,1,1,4,10,
80,6,1,2,4,10,
80,7,1,3,4,10,10.779215
80,8,1,4,4,10,10.65099
80,9,1,5,4,10,10.582473
80,10,1,6,4,10,10.758477
80,11,1,7,4,10,11.110641
81,1,3,0,0,12,
81,2,3,0,0,13,
81,3,3,0,0,14,
81,4,2,0,1,14,8.3091841
81,5,1,1,1,14,8.7498913
81,6,2,1,2,14,9.8894396
81,7,3,1,2,15,
81,8,3,1,2,16,
81,9,3,1,2,17,
81,10,3,1,2,18,
81,11,3,1,2,19,
82,1,3,0,0,11,
82,2,2,0,1,11,9.0584126
82,3,2,0,2,11,
82,4,3,0,2,12,
82,5,3,0,2,13,
82,6,3,0,2,14,
82,7,3,0,2,15,
82,8,3,0,2,16,
82,9,2,0,3,16,9.0538273
82,10,2,0,4,16,10.257519
82,11,2,0,5,16,
83,1,3,0,0,11,
83,2,3,0,0,12,
83,3,3,0,0,13,
83,4,3,0,0,14,
83,5,3,0,0,15,
83,6,2,0,1,15,9.7907887
83,7,3,0,1,16,
83,8,3,0,1,17,
83,9,3,0,1,18,
83,10,3,0,1,19,
83,11,1,1,1,19,10.950666
84,1,3,0,0,11,
84,2,3,0,0,12,
84,3,3,0,0,13,
84,4,3,0,0,14,
84,5,3,0,0,15,
84,6,2,0,1,15,7.3928938
84,7,2,0,2,15,
84,8,2,0,3,15,
84,9,1,1,3,15,
84,10,1,2,3,15,9.9701176
84,11,1,3,3,15,10.306309
85,1,3,0,0,11,
85,2,3,0,0,12,
85,3,3,0,0,13,
85,4,3,0,0,14,
85,5,3,0,0,15,
85,6,3,0,0,16,
85,7,1,1,0,16,10.214862
85,8,2,1,1,16,10.137191
85,9,2,1,2,16,10.576254
85,10,2,1,3,16,10.695774
85,11,1,2,3,16,10.732343
86,1,3,0,0,10,
86,2,3,0,0,11,
86,3,3,0,0,12,
86,4,3,0,0,13,
86,5,3,0,0,14,
86,6,3,0,0,15,
86,7,2,0,1,15,7.9971251
86,8,1,1,1,15,
86,9,1,2,1,15,9.5643721
86,10,1,3,1,15,
86,11,1,4,1,15,10.980843
87,1,3,0,0,10,
87,2,3,0,0,11,
87,3,3,0,0,12,
87,4,3,0,0,13,
87,5,3,0,0,14,
87,6,1,1,0,14,10.049333
87,7,1,2,0,14,10.692475
87,8,1,3,0,14,11.211852
